"start","end","text","speaker"
"3572920","3575620"," that the lay people, the awam, the masses,","Jake Brancatella"
"3576140","3580220"," he says they hold beliefs such as anthropomorphism,","Jake Brancatella"
"3580500","3583380"," the affirmation of direction, the influence of nature,","Jake Brancatella"
"3583720","3587360"," that Allah's actions are for a purpose which Ash'aris deny,","Jake Brancatella"
"3587680","3591060"," that his speech, exalted and glorified, consists of letters and sound,","Jake Brancatella"
"3591060","3594420"," and that he sometimes speaks and sometimes remains silent like humans.","Jake Brancatella"
"3594660","3598480"," Such beliefs resemble those of the people of falsehood.","Jake Brancatella"
"3598500","3599800"," He's talking about Muslims.","Jake Brancatella"
"3600400","3603700"," The majority of the masses are upon falsehood.","Jake Brancatella"
"3604120","3611220"," Scholars have unanimously agreed upon some of these beliefs as constituting kufr, this belief.","Jake Brancatella"
"3611560","3618380"," So he's saying that the awam, some of their beliefs constitute kufr, and most of them are upon this.","Jake Brancatella"
"3618780","3619800"," That's what he's saying.","Jake Brancatella"
"3620960","3624960"," Again, I don't think that that in itself is a problematic view.","Daniel Haqiqatjou"
"3625500","3626700"," So you hold that view too?","Daniel Haqiqatjou"
"3627760","3629320"," Let me explain that.","Daniel Haqiqatjou"
"3629480","3640000"," Because today you have, I would say, a lot of Muslims, I can't give a percentage, that they do have kufr views because of the influence of liberalism, because of the influence of secularism.","Daniel Haqiqatjou"
"3640280","3650060"," How often do we see Muslims who they think, like some non-Muslim celebrity dies and say, oh, may Allah grant him jannah, and they think that all religions are acceptable.","Daniel Haqiqatjou"
"3650060","3655120"," Those are very clear kufr views that unfortunately are very spread, widespread throughout the ummah.","Daniel Haqiqatjou"
"3655560","3662500"," And you could say, I wouldn't say majority, but I'd say it's a very significant segment.","Daniel Haqiqatjou"
"3662900","3664160"," He says as for the masses, most of them.","Jake Brancatella"
"3664180","3664760"," That could be the case.","Daniel Haqiqatjou"
"3664940","3670780"," In the future, it could be the case that most of the ummah has serious kufr issues.","Daniel Haqiqatjou"
"3671000","3673160"," But that's very different than what you claimed earlier.","Daniel Haqiqatjou"
"3673500","3680520"," Your claim earlier was that the Ash'ari say that unless you go through these rationalistic proofs, you cannot go to jannah.","Daniel Haqiqatjou"
"3681180","3682740"," This quote doesn't justify that.","Jake Brancatella"
"3683100","3683260"," No.","Jake Brancatella"
"3683520","3691300"," I'm talking about this quote is saying that most of the lay people have kufr beliefs, and he lists a whole bunch of them.","Jake Brancatella"
"3691420","3693120"," Do you believe that these beliefs are kufr?","Jake Brancatella"
"3693520","3695360"," That these positions are kufr, which he mentions?","Jake Brancatella"
"3696500","3696760"," No.","Daniel Haqiqatjou"
"3697220","3698240"," I don't think that.","Daniel Haqiqatjou"
"3699500","3701300"," Affirming a direction for Allah.","Jake Brancatella"
"3701540","3702520"," Is that kufr?","Jake Brancatella"
"3703640","3704660"," Affirming a direction for Allah.","Daniel Haqiqatjou"
"3704660","3706800"," Yeah, that Allah is above and outside of creation.","Jake Brancatella"
"3707060","3707360"," Is that kufr?","Daniel Haqiqatjou"
"3707360","3708140"," I don't think that.","Daniel Haqiqatjou"
"3708360","3709220"," Depending on what you mean.","Daniel Haqiqatjou"
"3709340","3710400"," Depending on what you mean by that.","Daniel Haqiqatjou"
"3710520","3723900"," But the point that I'm making is that a scholar can assert based on his ijtihad that the majority of people in a particular time are upon kufr, and he can condemn that.","Daniel Haqiqatjou"
"3724320","3725880"," And there's nothing wrong with that.","Daniel Haqiqatjou"
"3726120","3729260"," There's nothing problematic or obviously problematic to me about that.","Daniel Haqiqatjou"
"3729420","3732460"," You could arguably say that about Muslims today, unfortunately.","Daniel Haqiqatjou"
"3732460","3739940"," Okay, so how are we supposed to actually interpret the Qur'an and Sunnah?","Jake Brancatella"
"3740040","3751800"," Because I gave the quote, this is fundamental, I gave the quote from Razi earlier saying that if the Qur'an or Sunnah contradict reason, then we're supposed to take reason over the Qur'an and Sunnah.","Jake Brancatella"
"3751920","3753000"," So do you agree with that?","Jake Brancatella"
"3754280","3760360"," Yeah, so I mean, Razi, he has this kind of perspective, qanun kulli, that's his principle.","Daniel Haqiqatjou"
"3760360","3763760"," And I agree with Ibn Taymiyyah's critique of that.","Daniel Haqiqatjou"
"3764100","3769940"," I agree that we should take reason in its place, aql has its place, and it's a proof.","Daniel Haqiqatjou"
"3770180","3779040"," And also revelation, naql is a proof, and there's no contradiction inherent to true aql and authentic revelation.","Daniel Haqiqatjou"
"3779260","3781820"," That's Ibn Taymiyyah's critique, I think that's a brilliant critique.","Daniel Haqiqatjou"
"3782280","3790700"," I think Al-Razi, he might have, he has a mistake, depending on what he means by aql, and we excuse him for that.","Daniel Haqiqatjou"
"3790840","3795160"," We excuse that kind of mistake, and that's on the basis of his ijtihad.","Daniel Haqiqatjou"
"3795440","3796400"," There's no problem here.","Jake Brancatella"
"3796460","3799640"," These are fundamental matters of how we interpret a text.","Jake Brancatella"
"3799900","3806860"," He's saying that we take the reason over revelation, and what he means by that are the proofs of the mutikalimun.","Jake Brancatella"
"3806980","3807700"," That's what he means.","Jake Brancatella"
"3808120","3814460"," He's not getting these rational proofs from the Qur'an and Sunnah, he's getting them from Greek metaphysics.","Jake Brancatella"
"3814460","3829480"," The Qur'an is constantly calling us to engage in our reason, to be rational, and criticizes the kuffar, the disbelievers, for not engaging their aql, for not using their aql.","Daniel Haqiqatjou"
"3829680","3855780"," So someone could take that, and take those statements from the Qur'an, and have an interpretation like Al-Razi's, or the other mutikalimun, and again, if we're talking about Al-Razi being some fringe figure, some fringe that everyone rejected, he's been refuted, he has no proof of his fiqh, or his strength, in all these Islamic sciences, that'd be a separate question.","Daniel Haqiqatjou"
"3855900","3856760"," But we're talking about Al-Razi.","Jake Brancatella"
"3857140","3860520"," But just because he's a scholar, Dan, this is the difference.","Jake Brancatella"
"3860980","3868540"," You just see, oh, a scholar says this, so just because a so-called scholar says this, it must be an acceptable difference of opinion.","Jake Brancatella"
"3868780","3871200"," Why should anyone accept this principle?","Jake Brancatella"
"3871340","3872160"," I didn't say that.","Daniel Haqiqatjou"
"3872160","3874020"," I just said that it's an acceptable difference of opinion.","Daniel Haqiqatjou"
"3874040","3874980"," But you're talking about because he has this book of tefsir.","Jake Brancatella"
"3874980","3878080"," He is acceptable, and he is respected.","Daniel Haqiqatjou"
"3878080","3880340"," Yeah, but it doesn't mean we accept everything he says.","Jake Brancatella"
"3880360","3880780"," I agree.","Daniel Haqiqatjou"
"3881120","3882480"," Don't accept everything that he says.","Daniel Haqiqatjou"
"3882540","3886560"," I just said that I don't accept the principle, like his qanun kulli.","Daniel Haqiqatjou"
"3886620","3887480"," I don't accept that.","Daniel Haqiqatjou"
"3887940","3889980"," But I accept him.","Daniel Haqiqatjou"
"3890260","3891400"," I respect him.","Jake Brancatella"
"3891500","3892240"," That's the difference.","Jake Brancatella"
"3892340","3895140"," Yeah, but we're not discussing people.","Jake Brancatella"
"3895280","3897380"," We are discussing the beliefs.","Jake Brancatella"
"3897480","3901740"," We're talking about the aqidah, the creed of the Ash'aris and Maturidis.","Jake Brancatella"
"3902040","3912420"," And on one hand, it seems like you're agreeing with me that certain aspects, or at least the entailment of the positions being mentioned, is that they are actually bid'ah or could raise to that level.","Jake Brancatella"
"3912760","3921540"," What about, especially in today's day and age, when a lot of Muslims, rightly so, may be kind of wondering what's going on in the world?","Jake Brancatella"
"3921720","3930720"," Why is Allah subhanahu wa ta'ala allowing these very difficult things to take place during our time, like what's happening in Palestine right now?","Jake Brancatella"
"3931120","3935100"," And if an Ash'ari would come to say, well, actually, it doesn't matter.","Jake Brancatella"
"3935560","3938420"," Allah doesn't do anything for any reason at all.","Jake Brancatella"
"3938500","3940400"," Is that an acceptable difference of opinion?","Jake Brancatella"
"3941860","3947200"," Again, this is a polemical recasting of the Ash'ari view.","Daniel Haqiqatjou"
"3947340","3948420"," So that's not the Ash'ari view.","Daniel Haqiqatjou"
"3948440","3961520"," You have to ask an Ash'ari scholar to come, like have that conversation with Sheikh Yasser Hanafi, or take the plunge with the Sheikh from Down Under, as you call him, and talk to Sheikh Harun Kanj, and discuss with them.","Daniel Haqiqatjou"
"3961720","3966580"," And I want to see you ask these questions to them and get a qualified scholar's response.","Daniel Haqiqatjou"
"3966600","3967340"," So you don't know the answer?","Daniel Haqiqatjou"
"3967460","3967560"," Me?","Daniel Haqiqatjou"
"3967980","3969060"," I've admitted that.","Daniel Haqiqatjou"
"3969180","3969960"," Yeah, I'll admit.","Daniel Haqiqatjou"
"3970120","3971080"," I don't know the answer.","Daniel Haqiqatjou"
"3971540","3972860"," I claim silence.","Daniel Haqiqatjou"
"3972980","3973900"," I plead the fifth.","Daniel Haqiqatjou"
"3974300","3976160"," I plead the fifth on all these issues.","Daniel Haqiqatjou"
"3976340","3976820"," I don't want to incriminate myself.","Daniel Haqiqatjou"
"3976820","3977760"," No, but that's important.","Jake Brancatella"
"3978260","3978920"," It's not.","Daniel Haqiqatjou"
"3979060","3979420"," It's actually not.","Jake Brancatella"
"3979420","3980260"," No, I'm telling you why.","Jake Brancatella"
"3980380","3980920"," I'm telling you why.","Jake Brancatella"
"3980920","3982260"," It's literally not.","Jake Brancatella"
"3982500","3983220"," You don't have to know.","Jake Brancatella"
"3983220","3983540"," It's literally not.","Jake Brancatella"
"3983660","3984300"," You don't have to know.","Jake Brancatella"
"3984380","3986600"," The reason why it's important for this debate,","Jake Brancatella"
"3986940","3989540"," and you could be exonerated in that respect,","Jake Brancatella"
"3989820","3991380"," is because if the question is,","Jake Brancatella"
"3991680","3994140"," are the Ash'ari and Maturidi creeds deviant,","Jake Brancatella"
"3994380","3996860"," and you're displaying and openly admitting","Jake Brancatella"
"3996860","4000560"," that you don't know a lot of the positions that I'm representing","Jake Brancatella"
"4000560","4003740"," as their positions actually are deviant,","Jake Brancatella"
"4004020","4006740"," then there's probably good reason why you don't think","Jake Brancatella"
"4006740","4009920"," that they're actually deviant or Kufri creeds,","Jake Brancatella"
"4009920","4011980"," because you don't know what they actually believe.","Jake Brancatella"
"4012140","4012780"," That's fair.","Jake Brancatella"
"4013140","4014240"," But then you should just say that.","Jake Brancatella"
"4014340","4016100"," You should just say, I don't know, Jake.","Jake Brancatella"
"4016160","4025260"," I actually want to withhold and say, I don't know if their aqidah, their creeds, actually are deviant or not, because I don't know enough about them.","Jake Brancatella"
"4025380","4027360"," And that would be a more respectable position.","Jake Brancatella"
"4028820","4040040"," The creed, the Ash'ari creed or the Maturidi creed, it's a massive body of work associated with certain books, certain scholars.","Daniel Haqiqatjou"
"4040460","4042780"," It is a huge corpus, right?","Daniel Haqiqatjou"
"4043160","4055380"," And 90, let's say 90%, give a percentage, but it's definitely the vast majority, will agree across, especially between Ash'ari, Maturidi, and Athari.","Daniel Haqiqatjou"
"4056120","4058460"," And this is something that I will claim.","Daniel Haqiqatjou"
"4058880","4063320"," You can dispute it, but you are focusing, like this is the cherry-picking aspect.","Daniel Haqiqatjou"
"4063460","4073840"," You're focusing on points of disagreement, and you're saying that these points of disagreement or these mistakes, they color the entire creed of the Ash'aris or the Maturidis.","Daniel Haqiqatjou"
"4074060","4076760"," You can take that same approach with the Atharis.","Daniel Haqiqatjou"
"4077160","4096060"," This hadith, like affirming, like the Ahlul Hadith will affirm or they'll narrate these hadith about Allah being a curly-haired youth or the angels being made from the hair or the light from Allah's arms and chest, like these types of very anthropomorphic-sounding hadith.","Daniel Haqiqatjou"
"4096060","4099000"," Like they will affirm that, and I think they make mistakes too.","Daniel Haqiqatjou"
"4099120","4102240"," There are some who go too extreme, and you will agree.","Daniel Haqiqatjou"
"4102520","4111960"," You will agree with me that some of these Ahlul Hadith will go too far in affirming a kind of bodily form to Allah.","Daniel Haqiqatjou"
"4112100","4113180"," You agree with that, don't you?","Daniel Haqiqatjou"
"4114240","4115300"," Can you give an example?","Daniel Haqiqatjou"
"4115840","4117840"," To literally say that Allah is a curly-haired youth.","Daniel Haqiqatjou"
"4117859","4119120"," I don't think anybody believes that.","Daniel Haqiqatjou"
"4119439","4121319"," Yeah, there are those who will...","Daniel Haqiqatjou"
"4121960","4122460"," Okay, fine.","Daniel Haqiqatjou"
"4122760","4124080"," Let me put it this way.","Daniel Haqiqatjou"
"4124080","4127859"," And we'll get to all of this in the next part of the debate,","Daniel Haqiqatjou"
"4128319","4130840"," that when you have Ibn Taymiyyah, for example,","Daniel Haqiqatjou"
"4131800","4135520"," denying the eternality of the hellfire","Daniel Haqiqatjou"
"4135520","4139060"," or saying at least that's an acceptable belief that someone can have","Daniel Haqiqatjou"
"4139060","4141600"," or requesting from Jinn what we just talked about,","Daniel Haqiqatjou"
"4141680","4142979"," like these kinds of views,","Daniel Haqiqatjou"
"4143140","4146140"," if I just hyper-focus on those views of Ibn Taymiyyah","Daniel Haqiqatjou"
"4146140","4148540"," and I say, well, this shows that Ibn Taymiyyah is a deviant,","Daniel Haqiqatjou"
"4148800","4150340"," you obviously wouldn't accept that","Daniel Haqiqatjou"
"4150340","4154060"," because you don't have a polemical approach to Ibn Taymiyyah.","Daniel Haqiqatjou"
"4154060","4155000"," You support him.","Daniel Haqiqatjou"
"4155439","4156120"," You support him.","Daniel Haqiqatjou"
"4156220","4158560"," So you're going to have this kind of hosnodvan.","Daniel Haqiqatjou"
"4158819","4163420"," You're going to say, oh, well, even if I don't agree, maybe it's an error, and you move on.","Daniel Haqiqatjou"
"4163540","4165120"," You still consider him Shaykh al-Islam.","Daniel Haqiqatjou"
"4165479","4184920"," That's the approach that you should have for all of these ulama of the khalaf who have been accepted by the khalaf, they've been accepted by the ummah, and Ibn Taymiyyah explicitly, like, I wish you would actually, because you've been testing me, I haven't pushed back, like, when Ibn Taymiyyah says that we have to have a contextual approach, like, what do you think about that?","Daniel Haqiqatjou"
"4185000","4185920"," Like, this is so brilliant.","Daniel Haqiqatjou"
"4186080","4187479"," Like, this is why I love Ibn Taymiyyah.","Daniel Haqiqatjou"
"4187779","4193960"," He is so self-conscious about the fact that we live in very confusing times.","Daniel Haqiqatjou"
"4194160","4196220"," We live in a time of great misguidance.","Daniel Haqiqatjou"
"4196340","4199620"," This is what he's saying, by the way, 700 years ago.","Daniel Haqiqatjou"
"4199760","4205100"," He thinks that we're living in a time of great confusion, and we have to be gentle with people.","Daniel Haqiqatjou"
"4205260","4206600"," We have to be understanding.","Daniel Haqiqatjou"
"4206600","4209780"," We have to be compassionate imams.","Daniel Haqiqatjou"
"4210400","4213520"," We have to establish the truth, which he does.","Daniel Haqiqatjou"
"4213640","4220520"," We establish the truth, but we're not going to be rushing to takfir people or to boycott them and to say that they're this and that.","Daniel Haqiqatjou"
"4220520","4220620"," I don't.","Jake Brancatella"
"4220620","4220880"," I don't do that.","Jake Brancatella"
"4221020","4222520"," You takfir me, bro, right now!","Daniel Haqiqatjou"
"4222600","4225180"," You're takfiring me to this moment in time.","Daniel Haqiqatjou"
"4225200","4228840"," Man, we can go back over my takfir of you.","Jake Brancatella"
"4228960","4231820"," We're going to spend a lot of time on Ibn Taymiyyah.","Jake Brancatella"
"4231920","4232800"," That's not the point.","Jake Brancatella"
"4233100","4241120"," The point is, the difference between somebody like Ibn Taymiyyah and these other scholars is in terms of their usool or their fundamentals.","Jake Brancatella"
"4241500","4259880"," They explicitly have deviant and kufri beliefs when it comes to their approach, their fundamentals, their usool, how they interpret scripture, where they get knowledge from, where they take knowledge from, and it leads to these deviant and kufri positions, like what al-Ghazali says in this passage.","Jake Brancatella"
"4260160","4272600"," He says, Allah does not mind if he forgives all disbelievers and punishes all believers, for this is not impossible within his essence, nor does it contradict any of his divine attributes.","Jake Brancatella"
"4272940","4278900"," This is because the concept of obligation, taklif, signifies his authority over his servants.","Jake Brancatella"
"4279060","4279640"," Listen to this.","Jake Brancatella"
"4279980","4291100"," In the realm of his divinity and majesty, disbelief and belief, meaning kufr and iman, as well as obedience and rebellion, hold equal standing.","Jake Brancatella"
"4291100","4294580"," Do you think that's a permissible position to hold?","Jake Brancatella"
"4294880","4300960"," That in the sight of Allah, kufr and belief, kufr and iman, are actually equal standing?","Jake Brancatella"
"4301700","4307400"," Before we continue, I think we'll have to shorten this session so that way we can make maghrib because of the projector issues.","Host"
"4307800","4309200"," So right now we're at 22 minutes.","Host"
"4309220","4310500"," If y'all wanted to continue to 30.","Host"
"4310980","4311960"," I think we'll make it.","Jake Brancatella"
"4312000","4312560"," We got time.","Jake Brancatella"
"4313220","4314040"," We'll catch it.","Jake Brancatella"
"4314540","4316320"," Well, you're traveling, so that's different for you.","Host"
"4316980","4320560"," If we went through the time, we would be exactly at isha time.","Host"
"4321680","4322080"," No, no, no.","Jake Brancatella"
"4322120","4324380"," I'm saying we can finish this period.","Jake Brancatella"
"4325620","4327140"," We've got like 15 minutes left, right?","Jake Brancatella"
"4327260","4329120"," Yeah, it's at 22 minutes, so you have like 18 minutes left.","Host"
"4330040","4331760"," You can just finish in 10 minutes.","Jake Brancatella"
"4331940","4332140"," Okay.","Host"
"4332220","4333880"," If you wanted to cut it down to 30 minutes, maybe we could.","Host"
"4334240","4334420"," Okay.","Jake Brancatella"
"4336080","4336240"," Yeah.","Jake Brancatella"
"4336420","4346720"," So are you saying that this position of Ghazali, saying that kufr and iman hold equal standing in the sight of Allah, is this an acceptable view?","Jake Brancatella"
"4346720","4348960"," I have to see how he explains this.","Jake Brancatella"
"4349120","4350460"," You're just showing me a snippet.","Daniel Haqiqatjou"
"4350760","4355740"," This is the kind of gotcha journalism like Piers Morgan does.","Daniel Haqiqatjou"
"4355760","4356200"," How is this gotcha?","Jake Brancatella"
"4356840","4359080"," You take a statement.","Daniel Haqiqatjou"
"4359760","4361060"," Oh, do you agree with that?","Daniel Haqiqatjou"
"4361160","4365280"," Oh, on this date, you said that we should kill all women.","Daniel Haqiqatjou"
"4365880","4367020"," Do you stand by that?","Daniel Haqiqatjou"
"4367540","4370540"," That's the kind of game that you're playing.","Daniel Haqiqatjou"
"4370640","4371260"," You're taking this.","Daniel Haqiqatjou"
"4371320","4372940"," I don't know what Ghazali means by this.","Daniel Haqiqatjou"
"4372980","4373940"," I don't know how he explains it.","Daniel Haqiqatjou"
"4373940","4375200"," I don't know his evidence for this.","Daniel Haqiqatjou"
"4375360","4376260"," How can I judge?","Daniel Haqiqatjou"
"4376260","4377500"," How can I judge?","Daniel Haqiqatjou"
"4377800","4380620"," And you claim, oh, the academic method.","Daniel Haqiqatjou"
"4380740","4381640"," You have to be academic.","Daniel Haqiqatjou"
"4382020","4382220"," Okay.","Daniel Haqiqatjou"
"4382360","4383320"," Well, what is the explanation?","Daniel Haqiqatjou"
"4383920","4387760"," See, this is the kind of intellectual charity that you have to give people.","Daniel Haqiqatjou"
"4388340","4395980"," I don't believe that Ghazali is this crazy psycho or Razi is this crazy psycho who just wants to have these kufr beliefs.","Daniel Haqiqatjou"
"4396220","4412820"," I think they are making a good faith effort to understand the Qur'an and Sunnah and their understanding of the Qur'an and Sunnah is so far beyond mine that for me to claim or to think that, oh, but they're so crazy that they're bungling this issue.","Daniel Haqiqatjou"
"4413000","4414120"," They're making this huge error.","Daniel Haqiqatjou"
"4414260","4416540"," I'm just going to sit back and laugh at it and call them deviant.","Daniel Haqiqatjou"
"4416740","4419080"," What kind of mindset do you have to have for that?","Daniel Haqiqatjou"
"4419420","4432940"," Like, for example, if some genius that is miles above me in intellect and research and academia and has a certain position that sounds weird to me, sounds weird and bizarre to me, I don't say, ha, look at that idiot.","Daniel Haqiqatjou"
"4432940","4434760"," Look at that R word.","Daniel Haqiqatjou"
"4434900","4439060"," I say, hmm, I guess, I wonder what kind of explanation he has for that.","Daniel Haqiqatjou"
"4439260","4440840"," I wonder what evidence he has for that.","Daniel Haqiqatjou"
"4441000","4442340"," I need to look it up more.","Daniel Haqiqatjou"
"4442440","4444020"," Maybe one day I can be at his level.","Daniel Haqiqatjou"
"4444200","4448280"," Like, that's the kind of approach that an intellectually honest person has to these scholars.","Daniel Haqiqatjou"
"4448540","4454840"," Yeah, but you are somebody who in the next segment is actually going to argue that Ibn Taymiyyah held kufr beliefs.","Jake Brancatella"
"4455400","4458260"," So why couldn't that also be possible for Ghazali?","Jake Brancatella"
"4459220","4464080"," With Ibn Taymiyyah, I don't want to do this exercise and investigate Ibn Taymiyyah's views.","Daniel Haqiqatjou"
"4464280","4473040"," I'm only taking your method, and that's why this segment of the debate is first, so that you can show your standards for hammering scholars.","Daniel Haqiqatjou"
"4473440","4476260"," You can show your standard for going ruthlessly against them.","Daniel Haqiqatjou"
"4476540","4482420"," And then in the next debate, when I use your method against Ibn Taymiyyah, you're going to be soft.","Daniel Haqiqatjou"
"4482520","4483440"," You're going to make excuses.","Daniel Haqiqatjou"
"4483620","4485580"," You're going to say, oh, well, what's the context of that?","Daniel Haqiqatjou"
"4485720","4488100"," Oh, let's look at what he actually means by that.","Daniel Haqiqatjou"
"4488140","4491820"," And you're going to give all these kinds of explanations to try to justify it.","Daniel Haqiqatjou"
"4491820","4497640"," And that contrast is what's going to show the audience that you're inconsistent.","Jake Brancatella"
"4497980","4498780"," No, it's not at all.","Jake Brancatella"
"4499080","4501160"," You keep trying to push it to that discussion.","Jake Brancatella"
"4501440","4502960"," We're going to get to that discussion.","Jake Brancatella"
"4503360","4508560"," But the Ash'ari and Maturidi views, when they say, for example, we heard from As-Sanusi earlier.","Jake Brancatella"
"4508680","4516740"," He literally said when listing the beliefs, some of which he says are kufr, he says that Allah's actions are for a purpose.","Jake Brancatella"
"4517520","4522240"," He's listing that as a false belief that is potentially kufr.","Jake Brancatella"
"4522520","4526500"," And that's the same reason which is directly connected to Al-Ghazali.","Jake Brancatella"
"4526860","4539900"," For Al-Ghazali, the Ash'aris literally believe that Allah, if he so chose, could have just as easily willed for kufr and shirk to be good instead of iman and obedience.","Jake Brancatella"
"4540600","4545420"," That's their belief because they don't believe that Allah does anything for any reason.","Jake Brancatella"
"4545500","4551540"," That's why he says, most of the lay people believe that Allah's actions are for a purpose.","Jake Brancatella"
"4552240","4564640"," Yeah, look, if Sanusi, if these Ash'aris, if Razi started waging war on the ummah, like they takfir, as you said, you claim that they're takfiring or they're saying everyone is upon kufr.","Daniel Haqiqatjou"
"4564800","4568600"," If they said that and they started waging war like the Wahhabis did, they start attacking...","Daniel Haqiqatjou"
"4569200","4570420"," Is that what Sanusi is saying right here?","Daniel Haqiqatjou"
"4570620","4571360"," Did they go to war?","Daniel Haqiqatjou"
"4571820","4572600"," Did they go to war?","Daniel Haqiqatjou"
"4572720","4576400"," Did they make an F-tier tier list and say that...","Daniel Haqiqatjou"
"4576400","4579740"," He wrote it in a book which is quoted today by people in college.","Daniel Haqiqatjou"
"4579980","4585660"," I'm disassociating from this one and that one and we need to ally with the kufr against the Muslims.","Daniel Haqiqatjou"
"4585900","4586700"," That's the Wahhabi belief.","Jake Brancatella"
"4586700","4587380"," I never said that.","Daniel Haqiqatjou"
"4587520","4588160"," I never said that.","Jake Brancatella"
"4588400","4596360"," My point to you is Sanusi is applying these beliefs to a majority of people.","Jake Brancatella"
"4596600","4599040"," Do you believe that Allah's actions are for a purpose?","Jake Brancatella"
"4600340","4604000"," Even off the top of my head, I can think of an explanation for this.","Daniel Haqiqatjou"
"4604240","4614300"," Do you think that Allah, like human purpose when humans act, generally it's guided by certain practical or pragmatic ends that they're pursuing.","Daniel Haqiqatjou"
"4614620","4617660"," Like I reach for this water because I want to drink.","Daniel Haqiqatjou"
"4617800","4618280"," I'm thirsty.","Daniel Haqiqatjou"
"4618560","4621200"," I go to bed because I need to sleep.","Daniel Haqiqatjou"
"4621300","4622320"," I feel the need to sleep.","Daniel Haqiqatjou"
"4622500","4626840"," I have these needs and I pursue certain...","Daniel Haqiqatjou"
"4626840","4634620"," When it says I have a purpose in doing this or that, it's because of those needs that I have or those kinds of practical purpose that I have.","Daniel Haqiqatjou"
"4634620","4636480"," And Allah doesn't have a need for anything.","Daniel Haqiqatjou"
"4636700","4643860"," So I can imagine that line of reasoning to deny the purposeful action of Allah in that way.","Daniel Haqiqatjou"
"4643960","4646460"," Like you can give an easy ta'weel to understand this.","Jake Brancatella"
"4646600","4650440"," So in that sense, then kufr and iman could be equal in the sight of Allah.","Jake Brancatella"
"4650780","4662980"," He could throw the Prophet Muhammad alayhi salatu wasalam and all the believers into the hellfire and put shaytan and the pharaoh and all the disbelievers into paradise and it would make no difference for Allah.","Jake Brancatella"
"4663140","4663680"," Do you believe that?","Jake Brancatella"
"4664860","4665340"," No.","Jake Brancatella"
"4665600","4667640"," But again, is this something so obvious?","Jake Brancatella"
"4668200","4669280"," Yeah, it is.","Jake Brancatella"
"4669440","4672280"," The way that I think about...","Daniel Haqiqatjou"
"4672280","4678220"," Because I've studied these things to not your level, not going into this level of depth in these debates.","Daniel Haqiqatjou"
"4678640","4682480"," But I'll tell you why I didn't pursue it even more than I did.","Daniel Haqiqatjou"
"4682980","4691380"," Because I go and read a Salafi argument against the Ash'aris on one issue and I say, wow, okay, that's a really strong argument.","Daniel Haqiqatjou"
"4691480","4693060"," I guess the Ash'aris are deviant.","Daniel Haqiqatjou"
"4693320","4694280"," But I'm curious.","Daniel Haqiqatjou"
"4694280","4696980"," I want to know what the other side has to say.","Daniel Haqiqatjou"
"4697060","4698120"," What's their best argument?","Daniel Haqiqatjou"
"4698380","4701840"," So I go to the Ash'aris and they give their argument and it's really good.","Daniel Haqiqatjou"
"4702160","4704280"," And I say, wow, that's really good.","Daniel Haqiqatjou"
"4705080","4708680"," I wonder what the Salafis have to say or the Ash'aris have to say in response to that.","Daniel Haqiqatjou"
"4708820","4711100"," So I go to the Ash'aris and they have a response.","Daniel Haqiqatjou"
"4711380","4717060"," And then it just gets more and more sophisticated, more and more abstruse and abstract and complex.","Daniel Haqiqatjou"
"4717320","4732280"," And then I reach a certain point and I just, this is so above my pay grade and I can see, I can see how two rational people who are pious, who are brilliant, way more intelligent than I am, can reasonably disagree on something.","Daniel Haqiqatjou"
"4732620","4736960"," Like this is something that intellectually honest people recognize with each other.","Daniel Haqiqatjou"
"4737260","4740120"," Like that's why, I think, why William Lane Craig was so successful.","Daniel Haqiqatjou"
"4740300","4745560"," He went against atheists and got them to say that, well, it's reasonable to believe in God.","Daniel Haqiqatjou"
"4745700","4746580"," Atheists had to concede.","Daniel Haqiqatjou"
"4746680","4747500"," I guess it's reasonable.","Daniel Haqiqatjou"
"4747620","4755200"," I don't believe it but I think that it's reasonable because, and we should also have the same kind of attitude towards these ulema.","Daniel Haqiqatjou"
"4755420","4756820"," Okay, they might have erred.","Daniel Haqiqatjou"
"4757180","4759340"," They might have made maybe even a major mistake.","Daniel Haqiqatjou"
"4759580","4765500"," But it's still, I can see how a tet wheel can lead down a certain path to arrive at that conclusion.","Daniel Haqiqatjou"
"4766060","4771120"," Yeah, but these beliefs, as I said, are matters of fundamentals in the deen.","Jake Brancatella"
"4771420","4778280"," They're matters of how scripture is even interpreted with Arazi, Teftazani, and the quotes I mentioned earlier.","Jake Brancatella"
"4778700","4787740"," Like, for example, people make a big to-do about Yadullah and the salafis and asharis go back and forth about the hand of Allah and what is it and what the meaning is.","Jake Brancatella"
"4788040","4797020"," But there are things that are even more important and more fundamental, which is, for example, Allah Subh'anaHu Wa Ta-A'la doing different things at different times.","Jake Brancatella"
"4797420","4798960"," Does He act in succession?","Jake Brancatella"
"4799400","4803840"," Does He create, did He create your mother before He created you?","Jake Brancatella"
"4804520","4813880"," I mean, these are things that are all throughout the Qur'an and Sunnah where Allah Subh'anaHu Wa Ta-A'la appears to be doing different things at different times.","Jake Brancatella"
"4814040","4816020"," That's the apparent meaning of the text.","Jake Brancatella"
"4816160","4817220"," Do you accept that?","Jake Brancatella"
"4817740","4817940"," No.","Jake Brancatella"
"4818060","4824360"," If it were so fundamental like the createdness or uncreatedness of the Qur'an, it would be mentioned explicitly.","Daniel Haqiqatjou"
